book_id,title,author,出版社,出版时间,数,价格,ISBM,评分,评论数量,user_id
4182,When all our brothers are silent,Paul Hausser, NATION EUROPA,1992,604, ￡59.95,9.78E+12,0,None,32923
4183,Lucian Freud on paper,Lucian Freud, Jonathan Cape," November 25, 2008",264, ￡50.00,9.78E+12,9.4,66,33065
4184,Nobuyoshi Araki,Akiko Miki, Phaidon Inc Ltd,2007,720, ￡45.00,9.78E+12,9.3,116,33716
4185,Numerical Recipes 3rd Edition,William H. Press, Cambridge University Press, August 2007,1256, ￡45.00,9.78E+12,9.4,65,33872
4186,Harry Potter - The Complete Story: Collected Audio Edition [Audiobook],J.K.Rowling, Bloomsbury Publishing PLC,2008,None, ￡350.00,9.78E+12,9.8,41,35146
4187,Shigeru Ban,Shigeru Ban, Phaidon Press, 2003/11/3,240, ￡32.99,9.78E+12,8.7,45,35259
4188,The Icon Handbook,Jon Hicks, Five Simple Step, 2012/1/30,323, ￡32.00,9.78E+12,7.8,18,36099
4189,Monet and the Impressionists,George T. M. Shackleford, The Art Gallery of New South Wales, 16 Feb 2009,228, ￡25.00,9.78E+12,9.6,36,36695
4190,The Vital Question,Nick Lane, Profile Books, 2015/4/23,352, ￡25.00,9.78E+12,9.5,19,37284
4191,The Book of English Magic,Sir Richard Heygate, John Murray, (1 Oct 2009),576, ￡25,9.78E+12,0,None,38475
4192,Luc Tuymans,Ulrich Loock, phaidon, 2003/10/1,260, ￡24.95,9.78E+12,9.1,105,38798
4193,Romantic Prairie Style,Fifi O'neill, Ryland Peters & Small, 2011/4,160, ￡19.99,9.78E+12,0,None,39423
4194,Flower Hunters,Mary Gribbin, Oxford University Press, 27/03/2008,352, ￡16.99,9.78E+12,0,None,42404
4195,The Libertines Bound Together: The Story of Peter Doherty and Carl Barat,Anthony Thornton, Time Warner Books," February 23, 2006",288, ￡16.99,9.78E+12,9.8,19,43622
4196,The Hoods,Harry Grey, Lightning Source Inc, 2008/7/22,470, ￡16.55,9.78E+12,7.7,10,43985
4197,Paul Klee: Painting Music,Hajo Duchting, Prestel Verlag, 1 April 2002,128, ￡15.00,9.78E+12,0,None,44397
4198,A Practical Guide to Web App Success,Dan Zambonini,None,None,362, ￡15.00,9.78E+12,0,None,45493
4199,Harry Potter and the Philosopher's Stone,J. K. Rowling, Bloomsbury Pub Ltd, 1997/06/26,223, ￡12.99,9.78E+12,0,None,45554
4200,T.S.Eliot: The Complete Poems & Plays,T.S. Eliot, Faber & Faber, 2004/10/7,608, ￡12.99,9.78E+12,8.2,16,46139
4201,The Complete Harry Potter Collection Box Set,J.K. Rowling, Bloomsbury Publishing PLC, 2007/10/01,3407, ￡105.00,9.78E+12,9.6,154,47800
4202,Caravaggio,Sebastian Schutze, Taschen, 2009/11,306, ￡100.00,9.78E+12,9.7,32,48687
4203,Game of Thrones,George R. R. Martin, Harper Voyager, 2011/3/31,801, ￡ 8.99,9.78E+12,9.1,94,49298
4204,Real World Research,"Robson, Colin",None, 2011/2,608, ￡ 60.00,9.78E+12,0,None,51480
4205,Type,Jan Tholenaar, TASCHEN,2009,360, ￡ 34.99,9.78E+12,9,50,51762
4206,A History of Advertising,"Pincas, Stéphane / Loiseau, Marc", Taschen, 2008/8/1,336, ￡ 24.99,9.78E+12,0,None,52036
4207,After Dark,"Murakami, Haruki",None, 2007/6,208, ￡ 14.99,9.78E+12,7.4,37,53292
4208,With the Old Breed,"Sledge, E. B."," Presidio Press, Ballantine Books", 1990/10/25,352, ￡ 12.99,9.78E+12,7.9,12,951
4209,Life Before Life,Jim B. Tucker, little brown, 2009/8,272, ￡ 10.16,9.78E+12,0,None,1169
4210,ＹＥＬＬＯＷ ＥＡＧＬＥ―ＴＨＥ ＬＥＧＥＮＤ ＳＴＯＲＹ ＆ ＳＰＩＲＩＴＳ ＯＦ ＧＯＲＯ’Ｓ,池田伸(著), A‐Works, 2007/10/31,176," \1,680",9.78E+12,7.9,22,2900
4211,享受吧! 一個人的旅行,Elizabeth Gilbert, 馬可孛羅,40426,400,8.06,9.79E+12,8.3,153,3662
4212,日本創意文案,uedada, 方智出版社股份有限公司, 2008/11/28,None,4.31,9.79E+12,7.7,59,3922
4213,性比天高,周实, 台湾北极星出版, 2005 /,334,3.47,9.79E+12,7.4,10,4536
4214,秘戏图考,[荷兰] 高罗佩, 广东人民出版社, 1992/7,447, （平装）18 （精装）28,9.79E+12,7.6,279,5115
4215,追忆似水年华 Ⅳ,"(法)普鲁斯特(Proust,Marcel)", 译林出版社,1990,520, $6.50/(精装) $9.20,9.79E+12,8.5,119,5272
